dataset,crsid,source_url,donorcode,donorname,oecd_website,agencycode,agencyname,agency_web,agency_projectspage,projecttitle,project_descrip,projectnumber,country_name,commitment_year,usd_commitment_defl_total,data_amount_unit,year,initialreport,recipientcode,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_irtc,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,grantequiv,usd_grantequiv,shortdescription,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,parentchannelcode,geography,ldcflag,ldcflagname,expectedstartdate,completiondate,longdescription,sdgfocus,keywords,gender,environment,dig,trade,rmnch,drr,nutrition,disability,ftc,pba,investmentproject,assocfinance,biodiversity,climatemitigation,climateadaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,capitalexpend,psiflag,psiaddtype,psiaddassess,psiadddevobj,id,crs_total,irrigation_title,irrigation_descr,irrigation_shortDes,irrigation_crs,irrig_tit_des,irrigation_keyword,irrigation_commitments,crs_irri_total,dup
CRS,2002001132z,,3,Denmark,https://www.oecd-ilibrary.org/sites/9b77239a-en/index.html?itemId=/content/component/9b77239a-en,2,Danish International Development Agency ,https://um.dk/en/danida,,,Short:  Long: ,104Afghanistan8-10,Afghanistan,2002,17601906,"USD, constant 2021",2002,1,625,10009,South & Central Asia,10016,LDCs,11,ODA Grants,1,10,110,,10.146747,,,17.601906,,,,,10.146747,,,17.601906,,,,,,,3,80,,,,,31140,Agricultural water resources,311,III.1.a. Agriculture,90000,Other,Other,90000,,,,2002-01-04,2006-12-31,,,,2,1,0,,,,,,,,,,,,,,2002-03-06,,,,,,,,,,,,,,,,CRS 2002-03 data,101472763904,0,0,0,1,0,1,17.601906,672270080,1
CRS,2005001336z,,3,Denmark,https://www.oecd-ilibrary.org/sites/9b77239a-en/index.html?itemId=/content/component/9b77239a-en,2,Danish International Development Agency ,https://um.dk/en/danida,,"AGRICULTURAL PROGRAMME, PHASE 2","Short: AGRICULTURAL PROGRAMME Long: REHABILITATION OF IRRIGATION SYSTEMS IN BASRA AREA, AND TECHNICAL ASSISTANCE THROUGH AGRICULTURAL ADVISOR.",104.Irak.2-220,Iraq,2005,6397137,"USD, constant 2021",2005,1,543,10011,Middle East,10019,UMICs,11,ODA Grants,1,10,110,,5.1700268,.42460901,,6.3971372,.52539098,,,,5.1700268,,,6.3971372,,,,,,,3,31,2.546,,,AGRICULTURAL PROGRAMME,31120,Agricultural development,311,III.1.a. Agriculture,,,DANIDA,,Basra,,,2005-08-01,2007-12-31,"REHABILITATION OF IRRIGATION SYSTEMS IN BASRA AREA, AND TECHNICAL ASSISTANCE THROUGH AGRICULTURAL ADVISOR.",,,0,0,0,,,,,,,,,,0,0,,0,2005-08-25,,,,,,,,4.9209361,4.9209361,4.9209361,,,,,,CRS 2004-05 data,102364839936,0,1,0,0,1,1,6.3971372,626532928,1
CRS,2005001336,,3,Denmark,https://www.oecd-ilibrary.org/sites/9b77239a-en/index.html?itemId=/content/component/9b77239a-en,1,Ministry of Foreign Affairs,https://um.dk/en,,"Agricultural programme, Ph II","Short: AGRICULTURAL PROGRAMME, PH II Long: Rehabilitation of irrigation systems in Basra area, and technical assistance through agricultural advisor.",104.Irak.2-7-b,Iraq,2005,0,"USD, constant 2021",2010,3,543,10011,Middle East,10019,UMICs,11,ODA Grants,1,10,110,C01,0,0,.206514,0,0,.21205001,,,0,,,0,,,0,,,,3,0,0,,,"AGRICULTURAL PROGRAMME, PH II",31120,Agricultural development,311,III.1.a. Agriculture,11000,Donor Government,Danida,11000,Basra,,,2005-08-01,2007-12-31,"Rehabilitation of irrigation systems in Basra area, and technical assistance through agricultural advisor.",,,0,0,0,0,,,,,,,,,0,0,,0,2005-08-25,,,,,,,,,,,,,,,,CRS 2010 data,102364839936,0,1,0,0,1,1,0,626532928,0
CRS,2012001329,,3,Denmark,https://www.oecd-ilibrary.org/sites/9b77239a-en/index.html?itemId=/content/component/9b77239a-en,1,Ministry of Foreign Affairs,https://um.dk/en,,Kenya - Climate Envelope 2012: continuation of bilateral climate programme re. energy efficiency,"Short: KENYA - CLIMATE ENVELOPE 2012: CONTINUATION OF BILATERAL CLIMATE PROGRAMME RE. ENERGY EFFICIENCY Long: To support development of innovative irrigation and drinking water systems, energy efficient cooking stoves and management of grassing areas",104.G.15-5.,Kenya,2012,9163518,"USD, constant 2021",2012,1,248,10003,South of Sahara,10018,LMICs,11,ODA Grants,1,10,110,C01,.431786,.032297999,0,.44319701,.033151001,0,,,.431786,,,.44319701,,,,,,,3,2.5,.18700001,,,KENYA - CLIMATE ENVELOPE 2012: CONTINUATION OF BILATERAL CLIMATE PROGRAMME RE. ENERGY EFFICIENCY,41010,Environmental policy and administrative management,410,IV.1. General Environment Protection,11000,Donor Government,Danida,11000,Kenya,,,2012-11-01,2015-12-01,"To support development of innovative irrigation and drinking water systems, energy efficient cooking stoves and management of grassing areas",,,0,2,0,0,,,,,,,,,0,1,2,0,2012-12-31,,,,,,,,,,,,,,,,CRS 2012 data,66622406656,0,1,0,0,1,1,.44319701,716938624,1
CRS,2021000319,,3,Denmark,https://www.oecd-ilibrary.org/sites/9b77239a-en/index.html?itemId=/content/component/9b77239a-en,1,Ministry of Foreign Affairs,https://um.dk/en,,FAO Syria and Neighbourhood (2021-2023),"Short: FAO SYRIA AND NEIGHBOURHOOD (2021-2023) Long: The expected long-term impact of the project is: The resilience, the food security and the livelihoods of the vulnerable small-scale women and men farmers, and unskilled workers from host communities and displaced Syrians are improved.To achieve this goal, the project will work with the MoA, Green Plan to support farmers' investments in land reclamation, water reservoirs and other on-farm complementary works.  This will be pursued through the support of the Green Plan funding mechanism, monitoring activities, developing the capacities of the farmers in collaboration with MoA extension services centres, with a priority given to women farmers.The project will be supporting 1 000 vulnerable small-scale women and men farmers' investments with matching grants (representing around 25 percent of the total initial cost of the investment paid by the farmer) for reclaiming their unproductive or abandoned lands, constructing water reservoirs for buffering water shortages, and/or other on-farm complementary works (terracing, retaining walls, planting of tree seedlings, installing more efficient drip irrigation systems, and fencing). Assuming that 70 percent of beneficiaries will enter into production after 3 years, it is expected that 700 beneficiary farmers will be producing at the end of the project. These matching grants will support investments that would generate a production value of about USD 3 to 9 million when farms reach maturity. It is expected that these investments will generate unskilled labour for host communities and displaced Syrians for the value of USD 1.0 to 1.5 million.",2021 - 41060,Lebanon,2021,4770916,"USD, constant 2021",2021,1,555,10011,Middle East,10019,UMICs,11,ODA Grants,1,10,110,B033,4.770916,4.770916,0,4.770916,4.770916,0,,,4.770916,,,4.770916,,,,,,,3,30,30,30,4.770916,FAO SYRIA AND NEIGHBOURHOOD (2021-2023),31130,Agricultural land resources,311,III.1.a. Agriculture,41301,Food and Agricultural Organisation,Food and Agricultural Organisation,41300,,,,2021-12-14,,"The expected long-term impact of the project is: The resilience, the food security and the livelihoods of the vulnerable small-scale women and men farmers, and unskilled workers from host communities and displaced Syrians are improved.To achieve this goal, the project will work with the MoA, Green Plan to support farmers' investments in land reclamation, water reservoirs and other on-farm complementary works.  This will be pursued through the support of the Green Plan funding mechanism, monitoring activities, developing the capacities of the farmers in collaboration with MoA extension services centres, with a priority given to women farmers.The project will be supporting 1 000 vulnerable small-scale women and men farmers' investments with matching grants (representing around 25 percent of the total initial cost of the investment paid by the farmer) for reclaiming their unproductive or abandoned lands, constructing water reservoirs for buffering water shortages, and/or other on-farm complementary works (terracing, retaining walls, planting of tree seedlings, installing more efficient drip irrigation systems, and fencing). Assuming that 70 percent of beneficiaries will enter into production after 3 years, it is expected that 700 beneficiary farmers will be producing at the end of the project. These matching grants will support investments that would generate a production value of about USD 3 to 9 million when farms reach maturity. It is expected that these investments will generate unskilled labour for host communities and displaced Syrians for the value of USD 1.0 to 1.5 million.",,,1,1,0,,0,0,0,0,,,,,0,0,1,1,2021-12-15,,,,,,,,,,,,,,,,CRS 2021 data,23845429248,0,1,0,0,1,1,4.770916,459921152,0
CRS,2012001014ct,,3,Denmark,https://www.oecd-ilibrary.org/sites/9b77239a-en/index.html?itemId=/content/component/9b77239a-en,1,Ministry of Foreign Affairs,https://um.dk/en,,,Short: AGRICULTURAL WATER RESOURCES Long: ,104.N.139.a.,Malawi,2012,19146,"USD, constant 2021",2012,1,253,10003,South of Sahara,10016,LDCs,11,ODA Grants,3,10,110,B01,.018653,.018653,0,.019145999,.019145999,0,,,.018653,,,.019145999,,,,,,,3,.108,.108,,,AGRICULTURAL WATER RESOURCES,31140,Agricultural water resources,311,III.1.a. Agriculture,22000,Donor country-based NGO,Folkekirkens Nødhjælp,22000,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,2012-12-31,,,,,,,,,,,,,,,,CRS 2012 data,23458158592,0,0,0,1,0,1,.019145999,606376768,0
CRS,2006001017z,,3,Denmark,https://www.oecd-ilibrary.org/sites/9b77239a-en/index.html?itemId=/content/component/9b77239a-en,1,Ministry of Foreign Affairs,https://um.dk/en,,REHABILITATION AFTER DROUGHT IN MALAWI,Short: REHABILITATION AFTER DROUGHT IN MALAWI Long: THE INTERVENTION WILL SEEK TO IMPROVE FOOD AVILABILITY AT HOUSEHOLD LEVEL  THROUGH IMPLEMENTATION OF SMALL-SCALE IRRIGATION AND WATER HARVESTING. SUPPORT WILL BE GIVEN TO RAISING AWARENESS REGARDING DISASTER RISK REDUCTION.,46.H.7-2-144.,Malawi,2006,404337,"USD, constant 2021",2006,1,253,10003,South of Sahara,10016,LDCs,11,ODA Grants,1,10,110,,.33653,.33653,,.40433699,.40433699,,,,.33653,,,.40433699,,,,,,,3,2,2,,,REHABILITATION AFTER DROUGHT IN MALAWI,31161,Food crop production,311,III.1.a. Agriculture,,,FOLKEKIRKENS NØDHJÆLP,,Southern Malawi,,,2006-07-01,2007-06-01,THE INTERVENTION WILL SEEK TO IMPROVE FOOD AVILABILITY AT HOUSEHOLD LEVEL  THROUGH IMPLEMENTATION OF SMALL-SCALE IRRIGATION AND WATER HARVESTING. SUPPORT WILL BE GIVEN TO RAISING AWARENESS REGARDING DISASTER RISK REDUCTION.,,,0,1,0,,,,,,,,,,0,0,,1,2006-06-30,,,,,,,,,,,,,,,,CRS 2006 data,23458158592,0,1,0,0,1,1,.40433699,606376768,1
CRS,2018001017af,,3,Denmark,https://www.oecd-ilibrary.org/sites/9b77239a-en/index.html?itemId=/content/component/9b77239a-en,1,Ministry of Foreign Affairs,https://um.dk/en,,Oxfam IBIS Lot CIV strategic partnership 2018-2021,"Short: OXFAM IBIS LOT CIV STRATEGIC PARTNERSHIP 2018-2021 Long: - Civil society organisations and alliances are strengthened to claim and exercise the universal right to qualityeducation and lifelong learning opportunities. This empowers poor and marginalised children, youth and adults to become active citizens, enabling political, economic, and social change.- Civil society organisations and alliances – particularly those involving women, youth and indigenous people –gain the power and legitimacy to hold governments to account. This leads to more sustainable development,improving economic and social justice.- Civil society – particularly women and youth – effectively engage in policy development and implementation of peacebuilding at national, regional and global level. This makes peace processes more inclusive and sustainable, and helps to prevent violent conflict and violent extremism.- Girls, boys, women and men affected by crisis gain basic life skills, knowledge and capacities to enhance theirrights leading to increased resilience through coordinated, community-led response.",2017-12486-1,Mozambique,2020,16177485,"USD, constant 2021",2020,3,259,10003,South of Sahara,10016,LDCs,11,ODA Grants,1,10,110,B03,.67077702,.67077702,0,.71720201,.71720201,0,,,.67077702,,,.71720201,,,,,,,3,4.3882232,4.3882232,4.3882232,.67077702,OXFAM IBIS LOT CIV STRATEGIC PARTNERSHIP 2018-2021,16050,Multisector aid for basic social services,160,I.6. Other Social Infrastructure & Services,22000,Donor country-based NGO,Oxfam Ibis,22000,,,,2018-01-01,,"- Civil society organisations and alliances are strengthened to claim and exercise the universal right to qualityeducation and lifelong learning opportunities. This empowers poor and marginalised children, youth and adults to become active citizens, enabling political, economic, and social change.- Civil society organisations and alliances – particularly those involving women, youth and indigenous people –gain the power and legitimacy to hold governments to account. This leads to more sustainable development,improving economic and social justice.- Civil society – particularly women and youth – effectively engage in policy development and implementation of peacebuilding at national, regional and global level. This makes peace processes more inclusive and sustainable, and helps to prevent violent conflict and violent extremism.- Girls, boys, women and men affected by crisis gain basic life skills, knowledge and capacities to enhance theirrights leading to increased resilience through coordinated, community-led response.",17.17,,0,,0,,0,0,0,0,,,,,0,0,0,0,2020-01-01,,,,,,,,,,,,,,,,CRS 2020 data,48961052672,0,1,0,0,1,1,.71720201,398809440,1
CRS,2010001447aa,,3,Denmark,https://www.oecd-ilibrary.org/sites/9b77239a-en/index.html?itemId=/content/component/9b77239a-en,1,Ministry of Foreign Affairs,https://um.dk/en,,Forbedring af levevilkår og fødevaresikkerhed for de fattigste befolkningsgrupper i etniske og andre udsatte områder i Burma,Short: FORBEDRING AF LEVEVILKÅR OG FØDEVARESIKKERHED FOR DE FATTIGSTE BEFOLKNINGSGRUPPER I ETNISKE OG ANDRE UDSATTE OMRÅDER I BURMA Long: livelihood project in the dry zone area in Burma implemented through Unicef and the UNDP. Focusing on water irrigation and improvement of livelihood,104.C.6.RGN.,Myanmar,2010,4565090,"USD, constant 2021",2010,1,635,10009,South & Central Asia,10016,LDCs,11,ODA Grants,1,10,110,C01,1.778789,.59013098,0,1.826473,.60595101,0,,,1.778789,,,1.826473,,,,,,,3,9.9999971,3.3175981,,,FORBEDRING AF LEVEVILKÅR OG FØDEVARESIKKERHED FOR DE FATTIGSTE BEFOLKNINGSGRUPPER I ETNISKE OG ANDRE UDSATTE OMRÅDER I BURMA,31140,Agricultural water resources,311,III.1.a. Agriculture,23000,Developing country-based NGO,DEVELOPING COUNTRY-BASED NGO,23000,Dry zone burma,,,2010-11-01,2012-07-01,livelihood project in the dry zone area in Burma implemented through Unicef and the UNDP. Focusing on water irrigation and improvement of livelihood,,,1,1,0,0,,,,,,,,,1,1,1,1,2010-10-13,,,,,,,,,,,,,,,,CRS 2010 data,33947832320,0,1,0,1,1,1,1.826473,735915648,1
CRS,1978000004,,3,Denmark,https://www.oecd-ilibrary.org/sites/9b77239a-en/index.html?itemId=/content/component/9b77239a-en,2,Danish International Development Agency ,https://um.dk/en/danida,,URBAN WATER & IRRIGATION,Short: URBAN WATER & IRRIGATION Long: ,780004,Philippines,,0,"USD, constant 2021",2010,3,755,10008,Far East Asia,10018,LMICs,13,ODA Loans,1,10,421,C01,0,0,.082927004,0,0,.085150003,,,,,,,,,,,,,3,0,0,,,URBAN WATER & IRRIGATION,14010,Water sector policy and administrative management,140,I.4. Water Supply & Sanitation,10000,Public Sector Institutions,,10000,,,,1978-01-04,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,.124526,0,0,,,,,,CRS 2010 data,74345783296,1,0,1,0,1,1,0,629637824,0
