dataset,crsid,source_url,donorcode,donorname,oecd_website,agencycode,agencyname,agency_web,agency_projectspage,projecttitle,project_descrip,projectnumber,country_name,commitment_year,usd_commitment_defl_total,data_amount_unit,year,initialreport,recipientcode,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_irtc,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,grantequiv,usd_grantequiv,shortdescription,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,parentchannelcode,geography,ldcflag,ldcflagname,expectedstartdate,completiondate,longdescription,sdgfocus,keywords,gender,environment,dig,trade,rmnch,drr,nutrition,disability,ftc,pba,investmentproject,assocfinance,biodiversity,climatemitigation,climateadaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,capitalexpend,psiflag,psiaddtype,psiaddassess,psiadddevobj,id,crs_total,irrigation_title,irrigation_descr,irrigation_shortDes,irrigation_crs,irrig_tit_des,irrigation_keyword,irrigation_commitments,crs_irri_total,dup
CRS,2002000004,,976,Islamic Development Bank,,1,Islamic Development Bank ,https://www.isdb.org/,https://www.isdb.org/projects/map,Oued R'High Oasis Irrigation (Phase-Ii) Project,Short: OUED R'HIGH OASIS IRRIGATION (PHASE-II) PROJECT Long: Instrument: Istisna'a - Sector: Agriculture,2AL 0054,Algeria,2002,49074412,"USD, constant 2021",2002,1,130,10002,North of Sahara,10018,LMICs,14,Other Official Flows (non Export Credit),4,21,421,C01,32.07,,,49.074413,,,,,,,,,,,,,,,302,32.07,,,,OUED R'HIGH OASIS IRRIGATION (PHASE-II) PROJECT,31110,Agricultural policy and administrative management,311,III.1.a. Agriculture,,,,,,,,,,Instrument: Istisna'a - Sector: Agriculture,,,,,,,,,,,,,,,,,,,2002-12-31,,,,,,,,,,,,,,,,CRS 2002-03 data,6387881472,1,0,1,0,1,1,49.074413,65467604,0
CRS,2004000004,,976,Islamic Development Bank,,1,Islamic Development Bank ,https://www.isdb.org/,https://www.isdb.org/projects/map,Samur Absheron Irrigation Velvelichay-Takhtakorpu Canal,Short: SAMUR ABSHERON IRRIGATION VELVELICHAY-TAKHTAKORPU CANAL Long: Instrument: Loan - Sector: Agriculture,2AZ 0022,Azerbaijan,2004,12592618,"USD, constant 2021",2004,1,611,10009,South & Central Asia,10019,UMICs,13,ODA Loans,4,10,421,C01,10.1,,,12.592618,,,,,,,,,,,,,,,302,10.1,,,,SAMUR ABSHERON IRRIGATION VELVELICHAY-TAKHTAKORPU CANAL,31110,Agricultural policy and administrative management,311,III.1.a. Agriculture,,,,,,,,,,Instrument: Loan - Sector: Agriculture,,,,,,,,,,,,,,,,,,,2004-12-31,,,,,,,,,,,,,,,,CRS 2004-05 data,17653317632,1,0,1,0,1,1,12.592618,299037568,0
CRS,2011000003,,976,Islamic Development Bank,,1,Islamic Development Bank ,https://www.isdb.org/,https://www.isdb.org/projects/map,"Flood Protection, Modernization And Expansion Of The Irrigated Areas Project In Nakhchivan Autonomous Republic","Short: FLOOD PROTECTION, MODERNIZATION AND EXPANSION OF THE IRRIGATED AREAS PROJECT IN NAKHCHIVAN AUTONOMOUS REPUBLIC Long: The project aims at increasing agricultural production by protecting farm land from soil erosion, and reduces frequent flood damage through land reclamation. It also aims at modernizing and improving irrigation systems and efficient use of available water resources.Istisna'a - Instrument: Istisna'a - Sector: Water, Sanitation & Urban Services",2AZ 0037,Azerbaijan,2011,55780724,"USD, constant 2021",2011,1,611,10009,South & Central Asia,10019,UMICs,14,Other Official Flows (non Export Credit),4,21,421,C01,55.310001,,,55.780724,,,,,,,,,,,,,,,302,55.310001,,,,"FLOOD PROTECTION, MODERNIZATION AND EXPANSION OF THE IRRIGATED AREAS PROJECT IN NAKHCHIVAN AUTONOMOUS REPUBLIC",31130,Agricultural land resources,311,III.1.a. Agriculture,,,,,,,,,,"The project aims at increasing agricultural production by protecting farm land from soil erosion, and reduces frequent flood damage through land reclamation. It also aims at modernizing and improving irrigation systems and efficient use of available water resources.Istisna'a - Instrument: Istisna'a - Sector: Water, Sanitation & Urban Services",,,,,,,,,,,,,,,,,,,2011-05-01,,,,,,,,,,,,,,,,CRS 2011 data,17653317632,1,1,1,0,1,1,55.780724,299037568,0
CRS,2011000004,,976,Islamic Development Bank,,1,Islamic Development Bank ,https://www.isdb.org/,https://www.isdb.org/projects/map,"Flood Protection, Modernization And Expansion Of The Irrigated Areas Project In Nakhchivan Autonomous Republic","Short: FLOOD PROTECTION, MODERNIZATION AND EXPANSION OF THE IRRIGATED AREAS PROJECT IN NAKHCHIVAN AUTONOMOUS REPUBLIC Long: The project aims at increasing agricultural production by protecting farm land from soil erosion, and reduces frequent flood damage through land reclamation. It also aims at modernizing and improving irrigation systems and efficient use of available water resources.Istisna'a - Instrument: Istisna'a - Sector: Water, Sanitation & Urban Services",2AZ 0038,Azerbaijan,2011,9601022,"USD, constant 2021",2011,1,611,10009,South & Central Asia,10019,UMICs,14,Other Official Flows (non Export Credit),4,21,421,C01,9.5200005,,,9.6010218,,,,,,,,,,,,,,,302,9.5200005,,,,"FLOOD PROTECTION, MODERNIZATION AND EXPANSION OF THE IRRIGATED AREAS PROJECT IN NAKHCHIVAN AUTONOMOUS REPUBLIC",31130,Agricultural land resources,311,III.1.a. Agriculture,,,,,,,,,,"The project aims at increasing agricultural production by protecting farm land from soil erosion, and reduces frequent flood damage through land reclamation. It also aims at modernizing and improving irrigation systems and efficient use of available water resources.Istisna'a - Instrument: Istisna'a - Sector: Water, Sanitation & Urban Services",,,,,,,,,,,,,,,,,,,2011-05-01,,,,,,,,,,,,,,,,CRS 2011 data,17653317632,1,1,1,0,1,1,9.6010218,299037568,0
CRS,2009000011,,976,Islamic Development Bank,,1,Islamic Development Bank ,https://www.isdb.org/,https://www.isdb.org/projects/map,Small Irrigated Perimeters Development Project,Short: SMALL IRRIGATED PERIMETERS DEVELOPMENT PROJECT Long: Instrument: Loan - Sector: Agriculture,2BEN0058,Benin,2009,6367754,"USD, constant 2021",2009,1,236,10003,South of Sahara,10016,LDCs,13,ODA Loans,4,10,421,C01,5.9000001,,,6.367754,,,,,,,,,,,,,,,302,5.9000001,,,,SMALL IRRIGATED PERIMETERS DEVELOPMENT PROJECT,31110,Agricultural policy and administrative management,311,III.1.a. Agriculture,,,,,,,,,,Instrument: Loan - Sector: Agriculture,,,,,,,,,,,,,,,,,,,2009-12-31,,,,,,,,,,,,,,,,CRS 2009 data,16607285248,1,0,1,0,1,1,6.367754,93605496,0
CRS,2009000012,,976,Islamic Development Bank,,1,Islamic Development Bank ,https://www.isdb.org/,https://www.isdb.org/projects/map,Small Irrigated Perimeters Development Project,Short: SMALL IRRIGATED PERIMETERS DEVELOPMENT PROJECT Long: Instrument: Istisna'a - Sector: Agriculture,2BEN0059,Benin,2009,9540838,"USD, constant 2021",2009,1,236,10003,South of Sahara,10016,LDCs,14,Other Official Flows (non Export Credit),4,21,421,C01,8.8400002,,,9.5408382,,,,,,,,,,,,,,,302,8.8400002,,,,SMALL IRRIGATED PERIMETERS DEVELOPMENT PROJECT,31110,Agricultural policy and administrative management,311,III.1.a. Agriculture,,,,,,,,,,Instrument: Istisna'a - Sector: Agriculture,,,,,,,,,,,,,,,,,,,2009-12-31,,,,,,,,,,,,,,,,CRS 2009 data,16607285248,1,0,1,0,1,1,9.5408382,93605496,0
CRS,2015800008,,976,Islamic Development Bank,,1,Islamic Development Bank ,https://www.isdb.org/,https://www.isdb.org/projects/map,Rural Irrigated Perimeters Development Project,Short: RURAL IRRIGATED PERIMETERS DEVELOPMENT PROJECT Long: Rural Irrigated Perimeters Development Project,2BEN0079,Benin,2015,11336641,"USD, constant 2021",2015,3,236,10003,South of Sahara,10016,LDCs,13,ODA Loans,4,10,421,C01,10,,,11.336641,,,,,,,,,,,,,,,302,10,,,,RURAL IRRIGATED PERIMETERS DEVELOPMENT PROJECT,31140,Agricultural water resources,311,III.1.a. Agriculture,,,,,,,,,,Rural Irrigated Perimeters Development Project,,,,,,,,,,,,,,,,,,,2015-12-31,,,,,,,,,,,,,,,,CRS 2015 data,16607285248,1,1,1,1,1,1,11.336641,93605496,0
CRS,2015800009,,976,Islamic Development Bank,,1,Islamic Development Bank ,https://www.isdb.org/,https://www.isdb.org/projects/map,Rural Irrigated Perimeters Development Project,Short: RURAL IRRIGATED PERIMETERS DEVELOPMENT PROJECT Long: Rural Irrigated Perimeters Development Project,2BEN0080,Benin,2015,11336641,"USD, constant 2021",2015,3,236,10003,South of Sahara,10016,LDCs,14,Other Official Flows (non Export Credit),4,21,421,C01,10,,,11.336641,,,,,,,,,,,,,,,302,10,,,,RURAL IRRIGATED PERIMETERS DEVELOPMENT PROJECT,31140,Agricultural water resources,311,III.1.a. Agriculture,,,,,,,,,,Rural Irrigated Perimeters Development Project,,,,,,,,,,,,,,,,,,,2015-12-31,,,,,,,,,,,,,,,,CRS 2015 data,16607285248,1,1,1,1,1,1,11.336641,93605496,0
CRS,2019000035,,976,Islamic Development Bank,,1,Islamic Development Bank ,https://www.isdb.org/,https://www.isdb.org/projects/map,Dangoumana region Hydroagricultural Development (PAHD),"Short: DANGOUMANA REGION HYDROAGRICULTURAL DEVELOPMENT (PAHD) Long: The overall objective of the project is to reduce rural household poverty and food insecurity through increased agricultural production, productivity and commercialization in Dangoumana areas. Specifically, the project will (i) develop irrigated agricultural land (2,000ha) and community-managed irrigation (pumping station and irrigation system) (ii) increase agriculture production and productivity and (iii) Increase smallholder farmers' income and reduce poverty and food insecurity, and thus improve the livelihood of the rural population, (iv) create commercial opportunities in the targeted agro-entrepreneurs with the objective to generate access to markets",BFA1008,Burkina Faso,2019,16422268,"USD, constant 2021",2019,1,287,10003,South of Sahara,10016,LDCs,13,ODA Loans,4,10,421,C01,5,,,5.4740891,,,,,,,,,,,,,,,302,5,,,,DANGOUMANA REGION HYDROAGRICULTURAL DEVELOPMENT (PAHD),31140,Agricultural water resources,311,III.1.a. Agriculture,90000,Other,n.a.,90000,,,,,,"The overall objective of the project is to reduce rural household poverty and food insecurity through increased agricultural production, productivity and commercialization in Dangoumana areas. Specifically, the project will (i) develop irrigated agricultural land (2,000ha) and community-managed irrigation (pumping station and irrigation system) (ii) increase agriculture production and productivity and (iii) Increase smallholder farmers' income and reduce poverty and food insecurity, and thus improve the livelihood of the rural population, (iv) create commercial opportunities in the targeted agro-entrepreneurs with the objective to generate access to markets",2,,,,,,,,,,,,,,,,,,2019-12-31,,,,,,,,,,,,,,,,CRS 2019 data,29398272000,0,1,0,1,1,1,5.4740891,625761920,1
CRS,2018000201,,976,Islamic Development Bank,,1,Islamic Development Bank ,https://www.isdb.org/,https://www.isdb.org/projects/map,Validation Mission for the Reverse Linkage Project on Water Management  between Chad (Recipient) and Sudan (Provider),Short: VALIDATION MISSION FOR THE REVERSE LINKAGE PROJECT ON WATER MANAGEMENT  BETWEEN CHAD (RECIPIENT) AND SUDAN (PROVIDER) Long: finalize the Reverse Linkage project on water management between Chad and Sudan,TCD1021,Chad,2018,15046,"USD, constant 2021",2018,1,232,10003,South of Sahara,10016,LDCs,11,ODA Grants,4,10,110,D02,.014,,,.015046,,,,,,,,,,,,,,,302,.014,,,,VALIDATION MISSION FOR THE REVERSE LINKAGE PROJECT ON WATER MANAGEMENT  BETWEEN CHAD (RECIPIENT) AND SUDAN (PROVIDER),31140,Agricultural water resources,311,III.1.a. Agriculture,,,,,,,,,,finalize the Reverse Linkage project on water management between Chad and Sudan,,,,,,,,,,,1,,,,,,,,2018-12-31,,,,,,,,,,,,,,,,CRS 2018 data,13749249024,0,0,0,1,0,1,.015046,106626504,0
